0.63126761,1,1,0.27790394,0.29479805,0.598064119,0
0,0.99999994,0,0.46509448,0.47640622,0.482450198,1
1,0.99303168,1,0.34847078,0.36561921,0.712833333,0
0,0.98787874,0.98217469,0.22567403,0.2378861,0.434861256,0
1,1,0,0.7403121,0.67932349,0.825890677,0
0.00002869,0.99990749,0.25540677,0.53183138,0.54219425,0.547735602,0
1,0.9999941,0.05934661,0.51250494,0.49788356,0.709050031,0
1,1,1,0.49743119,0.48876756,0.795859625,0
1,1,1,0.6982885,0.64630938,0.903379364,1
1,1,1,0.53445202,0.53330386,0.820326764,0
0.99999946,1,0.99356508,0.26396826,0.27873096,0.662166166,0
1,1,1,0.58924693,0.56776321,0.847103042,0
0.99962324,0.99965167,0.99999321,0.47411227,0.48331988,0.787083948,0
0.99999827,0.27452305,0.00001273,0.38394758,0.39554718,0.488753965,0
1,0.00165175,0.00000098,0.57807457,0.56999457,0.54475119,0
0.99997306,1,0,0.23010416,0.23998381,0.541021003,0
0.99998987,1,1,0.27276596,0.25137457,0.657240133,0
1,1,0.4961091,0.76458895,0.69406945,0.88720843,0
0,0.00000061,0.00000164,0.44131052,0.454218,0.268658842,1
0.00066413,1,1,0.48173282,0.49614641,0.593496595,0
1,1,1,0.50456399,0.4982059,0.800830967,0
1,1,1,0.40202132,0.42880327,0.749247377,0
1,1,1,0.5713771,0.55557805,0.838086545,1
0,0.86186415,0,0.38476613,0.39072615,0.405020514,0
0.00000001,0.00000036,0,0.52189142,0.52076793,0.312797879,0
1,1,1,0.68153602,0.6269998,0.892560746,0
0.00002417,0,0,0.33895686,0.35259199,0.207469489,0
1,1,0.11650265,0.55182767,0.52104378,0.7335117,1
1,0.99954396,1,0.6019789,0.57425332,0.852778458,0
1,1,1,0.64538878,0.61867523,0.879219203,1
0,0,0,0.34549406,0.35300988,0.209551182,1
1,1,1,0.38814071,0.3907904,0.733679333,1
0,0,0.46323273,0.42983258,0.43216404,0.304922259,1
1,1,1,0.59902978,0.54003167,0.841718435,0
1,1,1,0.67108375,0.60832614,0.883822967,0
1,1,1,0.73867095,0.660914,0.919875485,0
1,0.00008888,1,0.58329314,0.56691211,0.645079351,0
1,1,1,0.66122603,0.60226673,0.879047828,0
0.00000669,1,1,0.20464121,0.19954829,0.421258188,0
0.00000018,0,0.00045827,0.42475584,0.42310998,0.254405609,0
0.00001283,0.99495167,0,0.17084424,0.16604461,0.300059555,0
0.00000454,1,0,0.24898094,0.25004891,0.349709863,0
1,1,1,0.5212,0.51683068,0.811409204,0
0.7917192,0,0,0.19331206,0.19531211,0.274931091,0
0,0,0,0.36301902,0.36596078,0.21869394,0
1,0.9900682,0,0.62076128,0.58334213,0.759244663,0
0,0.99999994,0.99999994,0.25466019,0.25336704,0.452408151,0
0,1,0.99999076,0.52972054,0.48257777,0.603688569,0
0.10676769,1,0,0.11175738,0.09914672,0.284624768,0
0.91269779,0.99999529,0.56621438,0.53482312,0.52663994,0.757598972,0
1,0,0,0.23974852,0.2217178,0.338439896,0
1,0.98656231,1,0.38379556,0.38886261,0.729109913,0
0,0.22681776,0,0.19727543,0.18075143,0.15877161,1
1,1,1,0.64208281,0.56695628,0.862711727,0
0.99995691,0.00000005,0,0.29979193,0.28225741,0.374606194,0
0,1,0.00000609,0.38847089,0.36063552,0.424732532,0
1,0,0,0.18232937,0.16515769,0.304246118,0
0,0,0.99986666,0.25779706,0.25505298,0.253841678,0
1,1,1,0.59360665,0.56922054,0.848848157,1
1,1,1,0.59286767,0.58051908,0.852016025,0
0,0,0.00000049,0.40450516,0.41887584,0.247014349,0
1,1,1,0.63672233,0.60124779,0.871391036,0
0,0,0,0.44122723,0.4453063,0.265960059,0
0.00005288,1,1,0.61510283,0.56957126,0.655412803,0
0,0.69623512,0,0.42166632,0.43001139,0.394750337,0
1,1,0.01495866,0.56044954,0.54501277,0.733134559,0
0,0.00000083,1,0.36561322,0.38317242,0.324635858,1
0.05428483,0,0.00164017,0.5250355,0.50927478,0.321314067,0
0.00000002,0,0.00002376,0.44670063,0.45933905,0.271814284,0
0.98714107,1,1,0.49892399,0.51091552,0.800380067,0
1,1,1,0.72271645,0.6701892,0.917871695,0
1,1,1,0.71530807,0.65216279,0.910241258,1
1,0.00064327,1,0.30607769,0.29978594,0.481887743,0
1,1,0.58834505,0.65545219,0.61000055,0.838470327,0
1,1,0.90693843,0.66307598,0.60976893,0.872547316,0
1,0.10593781,1,0.47336525,0.47621512,0.606061673,0
1,0.99999934,0.99982083,0.67770272,0.62488288,0.890757631,1
0.99882168,0.99969578,0,0.35153908,0.35777578,0.61249795,0
1,0.99357688,0.0000725,0.39058262,0.41462794,0.640285794,0
1,1,0,0.84230798,0.75548488,0.879337858,0
1,0,0.99999988,0.31033486,0.31842369,0.488627553,0
1,1,0.99892408,0.68153095,0.63709551,0.895480346,0
1,1,0.99999398,0.83266628,0.74975377,0.974725413,1
0,1,1,0.27229121,0.24337476,0.454699791,1
1,1,1,0.70083523,0.64406198,0.903469163,1
1,1,1,0.71418029,0.6534254,0.910281707,1
1,1,1,0.70896059,0.65156037,0.908156288,0
1,1,1,0.54213482,0.52444816,0.819974894,0
1,0.00000003,0.99992907,0.41895366,0.44130933,0.55807181,0
1,0.99999994,1,0.37124455,0.39332303,0.729370262,0
0.01931853,0.89018577,1,0.26718175,0.28079411,0.446293618,0
0.07697736,0.99999756,0.99806249,0.30381939,0.3180159,0.50175182,1
0,0,0.00531876,0.43583611,0.44894287,0.26596557,0
1,1,1,0.6823141,0.62143087,0.891123491,0
1,1,1,0.80731118,0.71506727,0.956713535,0
0.92215163,1,1,0.51598459,0.51448572,0.793571419,1
1,1,1,0.7966935,0.70809883,0.951437699,0
0.03589383,1,0.99397343,0.20379107,0.21142295,0.431140315,0
0,1,0.00411352,0.41511682,0.42683828,0.452997882,0
0.99985963,0.00016249,0.58606207,0.42616361,0.44290084,0.519329966,0

