0,0.56870121,0,0.08013047,0.07397725,0.159972558,0
0,0,0.00264307,0.40693384,0.41456801,0.246714862,0
0.16610132,1,0.99999994,0.25288835,0.25332677,0.485084794,0
1,1,1,0.22231384,0.21175094,0.630219434,1
1,1,1,0.58649576,0.53918195,0.837703313,1
1,1,0.99999982,0.42578244,0.43551716,0.758389862,0
0,0.00027349,0,0.31769544,0.31017625,0.188416205,0
1,0,0.01074246,0.43502581,0.4411771,0.463935119,0
1,1,0,0.57332695,0.55095404,0.737284297,0
1,0.99998087,1,0.41076231,0.41613254,0.748064629,0
0,0.00000952,1,0.34965971,0.36257458,0.313672191,1
1,1,1,0.64500093,0.61365479,0.877596716,1
0.16909452,1,1,0.5038045,0.50510126,0.636490632,0
0.87625247,1,1,0.43831414,0.44942349,0.741571783,0
1,1,1,0.65947956,0.61514527,0.882387449,0
1,1,1,0.25474897,0.23165035,0.645919796,1
0,1,1,0.26440775,0.23740402,0.450543531,0
1,0.99999994,0.99895072,0.81723791,0.7485075,0.969618683,0
0.99977392,1,0.99964917,0.49499217,0.50257349,0.799189399,0
0,1,0,0.45217028,0.46719649,0.475810031,0
1,1,1,0.48636222,0.46454754,0.785272928,0
1,1,1,0.43781257,0.46273655,0.770164736,0
1,1,1,0.56951058,0.5532406,0.836825354,0
0.00041758,0.00019099,0,0.41030598,0.4190903,0.248940598,0
1,1,0.9999994,0.54771745,0.523678,0.821418575,1
1,1,1,0.69838405,0.63129169,0.898902722,0
0,1,0.02761251,0.39588344,0.39782178,0.440872817,1
1,1,1,0.52410555,0.51658303,0.812206574,0
1,1,0.99991161,0.58620977,0.57124972,0.847229008,0
1,1,1,0.60920298,0.58437109,0.858072221,0
0.00048089,0.20815064,0,0.31340191,0.31032509,0.228844406,0
1,1,1,0.4238843,0.42576817,0.754895741,0
0,0,1,0.42562041,0.42780262,0.356026909,0
1,1,0,0.5590499,0.53397411,0.727907203,0
1,1,1,0.69188845,0.61413914,0.891808277,0
1,1,1,0.72605562,0.64776784,0.912147038,0
1,0.00000058,1,0.57707757,0.55973178,0.641042921,0
1,1,1,0.62385702,0.58807844,0.863580638,1
0.00263996,1,1,0.22967166,0.22371309,0.436543417,0
0,0,0,0.37834221,0.37852323,0.227059632,0
0.0002198,0.00000001,1,0.25332877,0.26658961,0.256019476,0
0.99999785,1,1,0.4100281,0.43278039,0.752842117,0
1,1,1,0.56709623,0.55215251,0.835774622,0
1,0,0.99999231,0.35089728,0.36867777,0.515871746,0
0.96618134,0.00003702,1,0.51068139,0.49890614,0.596119931,0
1,0.98675579,0,0.77983838,0.72329718,0.848291826,1
0,1,0.00009415,0.42713028,0.42874026,0.456770577,0
1,1,1,0.67424095,0.63368571,0.892377998,0
1,1,0,0.27734613,0.28935638,0.570010753,0
0.86485958,1,0.9998849,0.56694841,0.55937475,0.810857354,0
1,0.99999994,1,0.65820879,0.604316,0.878757425,0
0,1,1,0.40914512,0.40895632,0.545430432,0
0.99999815,0.00000002,0,0.44276384,0.46036291,0.470937659,0
1,1,1,0.8121323,0.73314989,0.963584657,0
1,1,1,0.67414826,0.62169313,0.888752417,0
1,1,1,0.74838412,0.68747526,0.930757814,0
1,1,0.99989605,0.61217928,0.59477597,0.86207618,0
0.3590498,0.99998462,1,0.4818472,0.48747754,0.662604306,0
1,1,0.99976498,0.69110566,0.65364033,0.903400295,0
1,1,1,0.53598851,0.52561158,0.818480027,0
0,0,0,0.34688476,0.35369226,0.210173106,0
1,1,1,0.55591118,0.54170895,0.829286039,0
0.00000002,0,0,0.44138288,0.44544303,0.266047777,0
1,0.95781791,1,0.50794804,0.49848357,0.793493065,0
0,0.0000157,0,0.38651165,0.39465731,0.234353828,0
1,1,1,0.52405155,0.51092827,0.810493946,0
0.15494007,0.99999994,0,0.26658347,0.2783573,0.394470233,0
0.00000001,0,0.0000002,0.44694653,0.44890946,0.268756819,1
1,0.98244059,1,0.48004571,0.48312792,0.785440207,1
1,0.00000004,1,0.43289429,0.44101045,0.56217143,0
0.99999994,1,1,0.76157963,0.67708504,0.931599389,1
1,1,1,0.7377305,0.67298514,0.923214692,0
1,1,1,0.39431089,0.42240539,0.745014884,1
1,1,1,0.61767763,0.59707302,0.864425195,1
1,1,1,0.73694843,0.65466899,0.917485226,0
1,1,1,0.53685111,0.5146727,0.815457143,0
0.99988753,0.99986231,0.0002731,0.40847966,0.39967835,0.642424681,1
0.99900603,1,1,0.37052682,0.37674686,0.72398331,0
1,1,0,0.41300258,0.44281536,0.656745382,0
1,1,0.99998528,0.86025429,0.77750099,0.991325112,0
0.99995375,0.00005839,0,0.17048326,0.16833934,0.301649208,0
1,1,1,0.49594143,0.49463877,0.79717406,1
1,1,1,0.75175542,0.68189853,0.930096185,0
1,1,1,0.37791377,0.38655296,0.729340019,1
1,1,1,0.59968972,0.56070668,0.84811892,0
1,1,1,0.58012176,0.53415745,0.834283763,0
0.00000022,1,1,0.5759328,0.52300096,0.629680172,1
0,1,0,0.31187564,0.31137407,0.386974913,0
0,0.99999785,1,0.32701769,0.32711673,0.496239896,0
0.08536211,1,1,0.19747548,0.19179019,0.433852123,0
1,1,0.00003391,0.06600694,0.05952502,0.437662979,0
0.99626464,1,0,0.11178953,0.09741463,0.462014176,0
0,0,1,0.35473007,0.35382149,0.312565468,0
0.99999809,1,1,0.4328562,0.41636664,0.75476647,1
1,1,1,0.66954517,0.57055545,0.872030186,0
0,0.998577,0.0007489,0.35265976,0.3481333,0.410028208,0
1,1,0.04651184,0.65383559,0.57748443,0.77404719,0
1,0.99999696,0,0.09357817,0.08242806,0.452801261,1
0,0.00024185,0,0.23772818,0.2175715,0.136638274,0
0.83521545,1,0,0.20497125,0.18955585,0.48540122,0
